ID	Label	Exact Match	Synonyms	Suggested parent term	Abbreviation	Definition	Textual Definition	Definition Source	See Also	Editor	Reviewer1	Reviewer2	Type	Parent	Close Match	Exact Match	Narrow Match	Related Match
pbpko:PBPKO_00069	Fstomach			Volume of organ		stomach volume as a fraction of total body weight	stomach volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00070	Vintestine			Volume of organ		Volume of intestine	Volume of intestine	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00071	Fintestine			Volume of organ		intestine volume as a fraction of total body weight	intestine volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00072	Vsmall intestine			Volume of organ		Volume of small intestine	Volume of small intestine	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00073	Fsmall intestine			Volume of organ		small intestine volume as a fraction of total body weight	small intestine volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00074	Vlarge intestine			Volume of organ		Volume of large intestine	Volume of large intestine	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00075	Flarge intestine			Volume of organ		large intestine volume as a fraction of total body weight	large intestine volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00076	Vpancreas			Volume of organ		Volume of pancreas	Volume of pancreas	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00077	Fpancreas			Volume of organ		pancreas volume as a fraction of total body weight	pancreas volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00078	Vliver			Volume of organ		Volume of liver	Volume of liver	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00079	Fliver			Volume of organ		liver volume as a fraction of total body weight	liver volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00080	Vkidney			Volume of organ		Volume of kidney	Volume of kidney	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00081	Fkidney			Volume of organ		kidney volume as a fraction of total body weight	kidney volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00082	Vmuscle			Volume of organ		Volume of muscle	Volume of muscle	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00083	Fmuscle			Volume of organ		muscle volume as a fraction of total body weight	muscle volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00084	Vheart			Volume of organ		Volume of heart	Volume of heart	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00085	Fheart			Volume of organ		heart volume as a fraction of total body weight	heart volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00086	Vfat			Volume of organ		Volume of fat	Volume of fat	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00087	Ffat			Volume of organ		fat volume as a fraction of total body weight	fat volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00088	Vgonads			Volume of organ		Volume of gonads	Volume of gonads	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00089	Fgonads			Volume of organ		gonads volume as a fraction of total body weight	gonads volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00090	Vskin			Volume of organ		Volume of skin	Volume of skin	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00091	Fskin			Volume of organ		skin volume as a fraction of total body weight	skin volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00092	Vbone			Volume of organ		Volume of bone	Volume of bone	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00093	Fbone			Volume of organ		bone volume as a fraction of total body weight	bone volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00094	Vbrain			Volume of organ		Volume of brain	Volume of brain	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00095	Fbrain			Volume of organ		brain volume as a fraction of total body weight	brain volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00096	Vspleen			Volume of organ		Volume of spleen	Volume of spleen	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00097	Fspleen			Volume of organ		spleen volume as a fraction of total body weight	spleen volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00098	Vlung			Volume of organ		Volume of lung	Volume of lung	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00099	Flung			Volume of organ		lung volume as a fraction of total body weight	lung volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00100	Vpoorly perfused			Volume of organ		Volume of poorly perfused tissue/organ	Volume of poorly perfused tissue/organ	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00101	Fpoorly perfused			Volume of organ		poorly perfused tissues/organs volume as a fraction of total body weight	poorly perfused tissues/organs volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00102	Vrichly perfused			Volume of organ		Volume of richly perfused tissue/organ	Volume of richly perfused tissue/organ	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00103	Frichly perfused			Volume of organ		richly perfused tissues/organs volume as a fraction of total body weight	richly perfused tissues/organs volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00104	Vplasma			Volume of organ		Volume of the plasma	Volume of the plasma			0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00105	Fplasma					Fractional plasma volume	Fractional plasma volume	DOI: 10.1023/a:1018943613122 		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00106	Vrestbody			Volume of organ		volume	volume			0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00107	Frestbody					Fraction of Rest of the body volume	Fraction of Rest of the body volume	doi:�10.1093/toxsci/kfw014		0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00108	scVBlood					Relative blood volume	Relative blood volume	DOI: 10.1023/a:1018943613122 		0000-0001-8345-1349	0000-0002-9795-5967			Volume of organ				
pbpko:PBPKO_00109	Vblood					Blood volume	Blood volume	DOI: 10.1023/a:1018943613122 		0000-0001-8345-1349	0000-0002-9795-5967			Volume of organ				
pbpko:PBPKO_00110	VSkin_e					volume of the exposed skin	volume of the exposed skin			0000-0001-8345-1349	0000-0002-9795-5967			Volume of organ				
pbpko:PBPKO_00111	fSA_exposed					 fraction of skin surface area actually exposed	 fraction of skin surface area actually exposed			0000-0001-8345-1349	0000-0002-9795-5967			Surface area				
pbpko:PBPKO_00112	VSkin_u					volume of the unexposed skin	volume of the unexposed skin			0000-0001-8345-1349	0000-0002-9795-5967			Volume of organ				
pbpko:PBPKO_00113	VSkin_sc_e					Relative exposed skin volume	Relative exposed skin volume			0000-0001-8345-1349	0000-0002-9795-5967			Volume of organ				
pbpko:PBPKO_00114	VSkin_sc_u					Relative unexposed skin volume	Relative unexposed skin volume			0000-0001-8345-1349	0000-0002-9795-5967			Volume of organ				
pbpko:PBPKO_00115	Falv					Alveolar ventilation rate	Alveolar ventilation rate			0000-0001-8345-1349	0000-0002-9795-5967			Volume of organ				
pbpko:PBPKO_00116	vgallbaldder			Volume of organ		Volume of the gallbaldder 	Volume of the gallbaldder 			0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00117	Fgallbladder					Fractional gall bladder volume	Fractional gall bladder volume			0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00118	vportal vein			Volume of organ		Volume of the portal vein	Volume of the portal vein			0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00119	Fportal vein					Fractional portal vein volume	Fractional portal vein volume			0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00120	vlymph			Volume of organ		Volume of the lymph	Volume of the lymph			0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00121	Flymph					Fractional lymph  volume	Fractional lymph  volume			0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ				
pbpko:PBPKO_00122	Arterial volume			Volume of organ		Volume of the Arteries	Volume of the Arteries			0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ	http://purl.bioontology.org/ontology/LNC/LP430862-5			
pbpko:PBPKO_00123	venous volume	http://purl.bioontology.org/ontology/LNC/MTHU068040		Volume of organ		Volume of the veins	Volume of the veins			0000-0001-8345-1349	0000-0002-9795-5967		Class	Volume of organ		http://purl.bioontology.org/ontology/LNC/MTHU068040		
pbpko:PBPKO_00124	Sex	http://purl.bioontology.org/ontology/MESH/D012723	Genotypic	Gender		"The totality of characteristics of reproductive structure, functions, PHENOTYPE, and GENOTYPE, differentiating the MALE from the FEMALE organism"	"Characteristics totality of reproductive structure, functions, PHENOTYPE, GENOTYPE to differentiate MALE from  FEMALE organism"			0000-0001-8345-1349	0000-0002-9795-5967		Class	Physiological Parameters		http://purl.bioontology.org/ontology/MESH/D012723		
pbpko:PBPKO_00125	Male	http://purl.bioontology.org/ontology/MESH/D008297	Masculine	Gender	M	"Biologically, males are defined as the sex that produces the smaller gametes s (e.g. sperm )"	"Males, as sex i,e. produces smaller gametes (e.g. sperm)"	https://sci-hub.se/https://doi.org/10.1093/molehr/gau068		0000-0001-8345-1349	0000-0002-9795-5967		Class	Sex		http://purl.bioontology.org/ontology/MESH/D008297		
pbpko:PBPKO_00126	Female	http://purl.bioontology.org/ontology/MESH/D005260	Feminine	Gender	F	"Biologically, Females are defined as the sex that exist in species with gamete dimorphism (anisogamy)."	"Females, as sex i,e. produces gamete dimorphism (anisogamy)"	https://sci-hub.se/https://doi.org/10.1093/molehr/gau069		0000-0001-8345-1349	0000-0002-9795-5967		Class	Sex		http://purl.bioontology.org/ontology/MESH/D005260		
pbpko:PBPKO_00127	Physicochemical Parameters					"Physicochemical parameters of a compound include molecular weight (MW), lipophilicity, solubility, and pKa values, which can usually be determined in vitro. The physicochemical properties of a compound are used to parameterize the PBPK model"	"Physicochemical parameters of a compound include molecular weight (MW), lipophilicity, solubility, and pKa values, which can usually be determined in vitro. The physicochemical properties of a compound are used to parameterize the PBPK model"	"10.3390/ijerph20043473
https://cot.food.gov.uk/sites/default/files/2021-01/TOX-2019-34%20PBPK%20used%20for%20human%20health%20risk%20assessment.pdf
"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Parameters				
pbpko:PBPKO_00128	Molecular weight	http://purl.bioontology.org/ontology/MESH/D008970	"Weights, Molecular"	Physicochemical Parameter	MW	The sum of the weight of all the atoms in a molecule.	Sum of weight of all the atoms in a molecule.	http://purl.bioontology.org/ontology/MESH/D008970		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physicochemical Parameters		http://purl.bioontology.org/ontology/MESH/D008970		
pbpko:PBPKO_00129	Lipophillicity			Physicochemical Parameter		Lipophilicity defined as the affinity or tendency of a substance to dissolve in lipids or hydrophobic environments.	" Affinity of a molecule or a moiety
for a lipophilic environment "	https://sci-hub.se/10.1016/j.microc.2019.01.030		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physicochemical Parameters				
pbpko:PBPKO_00130	Distribution coefficients			Physicochemical Parameter	Log D	LogD is the ratio of equilibrium concentration of compound in an organic phase to total concentation of un-ionized and ionized species in the aqueous phase at a given pH.	"LogD distribution constant, better descriptor of lipophilicity of a molecule."	"https://doi.org/10.3109/00498258809041669
https://pubs.acs.org/doi/abs/10.1021/jm00211a010"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physicochemical Parameters				
pbpko:PBPKO_00131	Log P		Partition Coefficient 	Physicochemical Parameter		LogP is defined as the partition coefficient of a molecule between aqueous and lipophilic phases usually considered as octanol and water.	 Ratio of a dissolved xenoboitic substance in a two-phase system. 	"https://doi.org/10.3109/00498258809041669
https://pubs.acs.org/doi/abs/10.1021/jm00211a010
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20610"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physicochemical Parameters	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20610			
pbpko:PBPKO_00132	Log S		Intrinsic solubility	Physicochemical Parameter		LogS is directly related to the water solubility of a Xenobiotic defined as a common solubility unit corresponding to the 10-based logarithm of the solubility of a molecule measured in mol/L. 	"Xenoboitic Solubility unit corresponding to  10-based logarithm measured in mol/L. or
log (solubility measured in mol/l)."	"https://dev.Xenoboiticbank.com/guides/terms/log-s
https://docs.chemaxon.com/display/docs/theory-of-aqueous-solubility-prediction.md"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physicochemical Parameters	http://purl.bioontology.org/ontology/MESH/D012995			
pbpko:PBPKO_00133	Water solubility			Physicochemical Parameter		Solubility of substance in water	Solubility of substance in water			0000-0001-8345-1349	0000-0002-9795-5967		Class	Physicochemical Parameters				
pbpko:PBPKO_00134	pka (strongest acidic)	http://www.bioassayontology.org/bao#BAO_0002131	Acid dissociation constant	Physicochemical Parameter	pka	"The pKa is the negative base-10 logarithm of the acid dissociation constant (Ka) of a solution. The lower the pKa, the stronger the acid. "	Negative base-10 logarithm of acid dissociation constant (Ka) of a solution	"http://semanticscience.org/resource/CHEMINF_000195
https://dev.Xenoboiticbank.com/guides/terms/pka"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physicochemical Parameters		http://www.bioassayontology.org/bao#BAO_0002131		
pbpko:PBPKO_00135	pkb (strongest basic)	http://www.bioassayontology.org/bao#BAO_0190006	base dissociation constant	Physicochemical Parameter	"pKb pK(b) pK(B) affinity constant, Base dissociation constan"	"The strength of a base is determined by using pKb.
The pKb is the negative base-10 logarithm of the base dissociation constant (Kb) of a solution. The lower the pKb, the stronger the base."	Negative base-10 logarithm of base dissociation constant (Ka) of a solution	"https://uts.nlm.nih.gov/uts.html
http://www.semanticweb.org/ontologies/2010/3/Ontology1271664172453.owl#pKb"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physicochemical Parameters		http://www.bioassayontology.org/bao#BAO_0190006		
pbpko:PBPKO_00136	physiological charge			Physicochemical Parameter						0000-0001-8345-1349	0000-0002-9795-5967		Class	Physicochemical Parameters				
pbpko:PBPKO_00137	Hydrogen acceptor count		Acceptor	Physicochemical Parameter	A	"A descriptor that reflects the integer number of hydrogen bond acceptors in a given molecular entity, as determined by a given method. In highly simplified terms, this is usually the count of all negatively or partially negatively charged heteroatoms (e.g. alcohol oxygen) capable of accepting a hydrogen bond."	A descriptor reflects  integer number of hydrogen bond acceptors in a given molecular entity.	"
http://purl.obolibrary.org/obo/CHEBI_13193
http://semanticscience.org/resource/CHEMINF_000245"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physicochemical Parameters	http://purl.obolibrary.org/obo/CHEBI_13193			
pbpko:PBPKO_00138	Hydrogen donor count		"Donor
Reduced acceptor
AH2
Hydrogen-donor"	Physicochemical Parameter		" 
A molecular entity that can undergo oxidation by the loss of hydrogen atom(s)."	" 
A molecule can undergo oxidation by  loss of hydrogen."	"
http://purl.obolibrary.org/obo/CHEBI_17499"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physicochemical Parameters	http://purl.obolibrary.org/obo/CHEBI_17499			
pbpko:PBPKO_00139	rotable bond count		bond count	Physicochemical Parameter		A descriptor that specifies the integer count of bonds in a given molecular entity	An integer count of bonds in a given molecular entity	http://semanticscience.org/resource/CHEMINF_000233		0000-0001-8345-1349	0000-0002-9795-5967		Class	Physicochemical Parameters				
pbpko:PBPKO_00140	Biochemical Parameters					" Biochemical parameters refer to the various chemical and biological measurements that can be analyzed in bodily fluids, such as blood, urine, or cerebrospinal fluid."	" Biochemical parameters refer to the various chemical and biological measurements that can be analyzed in bodily fluids, such as blood, urine, or cerebrospinal fluid."			0000-0001-8345-1349	0000-0002-9795-5967		Class	Parameters				
pbpko:PBPKO_00141	Absorption	http://purl.bioontology.org/ontology/MESH/D000042		PK	A	Drug/chemical absorption is a pharmacokinetic parameter that refers to the way a drug/chemical is absorbed from a particular source (e.g. formulation) into the bloodstream.	Drug/chemical absorption is a pharmacokinetic parameter that refers to the way a drug/chemical is absorbed from a particular source (e.g. formulation) into the bloodstream	"https://www.news-medical.net/health/What-is-Drug-Absorption.aspx
https://www.ncbi.nlm.nih.gov/books/NBK557744/"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biological event	http://vocabs.lter-europe.net/EnvThes/21448	http://purl.bioontology.org/ontology/MESH/D000042		
pbpko:PBPKO_00142	Absorption rate constant gut			PK	Kagut	"The absorption rate constant (kabs) is used in the PBPK model to define absorption, which is the movement of a xenobiotic from its site of delivery (gut) to systemic circulation or another compartment"	"The absorption rate constant (kabs) is used in the PBPK model to define absorption, which is the movement of a xenobiotic from its site of delivery (gut) to systemic circulation or another compartment"	10.3390/ijerph20043473		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00143	Absorption rate constant intestine		Intestine Absorption coefficient	PK	Kaintestine	"The absorption rate constant (kabs) is used in the PBPK model to define absorption, which is the movement of a xenobiotic from its site of delivery (intestine) to systemic circulation or another compartment"	"The absorption rate constant (kabs) is used in the PBPK model to define absorption, which is the movement of a xenobiotic from its site of delivery (intestine) to systemic circulation or another compartment"	10.3390/ijerph20043473		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00144	Gastric emptying	http://purl.bioontology.org/ontology/MESH/D005746	"Gastric depletion/
Gastric Emptyings"	GIT motility	GE	Gastric emptying in PBPK refers to the rate at which the stomach empties its contents into the small intestine. It is an important parameter in PBPK modeling as it can affect the absorption of drugs and xenobiotics.	Gastric emptying in PBPK refers to the rate at which the stomach empties its contents into the small intestine. It is an important parameter in PBPK modeling as it can affect the absorption of drugs and xenobiotics.	10.1007/s10928-007-9073-1		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters		http://purl.bioontology.org/ontology/MESH/D005746		
pbpko:PBPKO_00145	Enterohepatic recirculation		"Circulations,
 Entero-Hepatic"	Metabolism	EHR	"Recycling through liver by excretion in bile, reabsorption from intestines (INTESTINAL REABSORPTION) into portal circulation, passage back into liver, and re-excretion in bile."	"Recycling through liver by excretion in bile, reabsorption from intestines into portal circulation, passage back into liver, and re-excretion in bile"	http://purl.bioontology.org/ontology/MESH/D004764		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters	http://purl.bioontology.org/ontology/MESH/D004764			
pbpko:PBPKO_00146	Specific Intestinal Permeability		" 
gut permeability measurement"	Intestinal Permeability		Specific intestinal permeability in PBPK refers to the surface area-normalized transcellular permeability of the intestinal wall for a specific drug or xenobiotic. It is an important parameter in PBPK modeling as it can affect the absorption of drugs and xenobiotics in the intestine	Specific intestinal permeability in PBPK refers to the surface area-normalized transcellular permeability of the intestinal wall for a specific drug or xenobiotic. It is an important parameter in PBPK modeling as it can affect the absorption of drugs and xenobiotics in the intestine	10.3390/pharmaceutics11080411		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				http://purl.jp/bio/4/id/201106061280498045
pbpko:PBPKO_00147	Distribution	http://www.stanford.edu/~coulet/phare.owl#DrugDistribution				Process of drug/chemical movement from systemic circulation to various organs/tissues of the body	Process of drug/chemical movement from systemic circulation to various organs/tissues of the body	10.1038/psp.2013.41		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biological event				
pbpko:PBPKO_00148	Volume of distribution	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70917	Aparent volume of distribution	Distribution	Vd	"It refers to the apparent volume in which a drug/chemical is distributed in the body, taking into account the concentration of the drug/chemical in plasma and tissues"	"It refers to the apparent volume in which a drug/chemical is distributed in the body, taking into account the concentration of the drug/chemical in plasma and tissues"	10.12793/tcp.2020.28.e19		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00149	Protein Binding	http://purl.bioontology.org/ontology/MESH/D011485	"Binding, Protein"	Distribution		"The process in which substances, either endogenous or exogenous, bind to proteins, peptides, enzymes, protein precursors, or allied compounds. Specific protein-binding measures are often used as assays in diagnostic assessments"	"Process in which substances, either endogenous or exogenous, bind to proteins, peptides, enzymes, protein precursors, or allied compounds."	http://purl.bioontology.org/ontology/MESH/D011485		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00150	Unbound fraction	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C135490|http://www.bioassayontology.org/bao#BAO_0080040	Fraction Unbound	PK	FU	The fraction of a xenobiotic that is unbound in plasma	The fraction of a xenobiotic that is unbound in plasma			0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00151	fugut		gut fraction unbound   	Fraction Unbound 	Fu gut	The fraction of a xenobiotic that is unbound in gut	The fraction of a xenobiotic that is unbound in gut			0000-0001-8345-1349	0000-0002-9795-5967		Class	Unbound fraction				
pbpko:PBPKO_00152	fustomach		stomach free fraction	Fraction Unbound 	fustomach	The fraction of a xenobiotic that is unbound in stomach	The fraction of a xenobiotic that is unbound in stomach			0000-0001-8345-1349	0000-0002-9795-5967		Class	Unbound fraction				
pbpko:PBPKO_00153	fuintestine		Intestine fraction unbound   	Fraction Unbound 	fuintestine	The fraction of a xenobiotic that is unbound in intestine	The fraction of a xenobiotic that is unbound in intestine			0000-0001-8345-1349	0000-0002-9795-5967		Class	Unbound fraction				
pbpko:PBPKO_00154	fupancreas		Pancreas fraction unbound   	Fraction Unbound 	fupancreas	The fraction of a xenobiotic that is unbound in pancreas	The fraction of a xenobiotic that is unbound in pancreas			0000-0001-8345-1349	0000-0002-9795-5967		Class	Unbound fraction				
pbpko:PBPKO_00155	fuliver		Liver fraction unbound   	Fraction Unbound 	fuliver	The fraction of a xenobiotic that is unbound in liver	The fraction of a xenobiotic that is unbound in liver			0000-0001-8345-1349	0000-0002-9795-5967		Class	Unbound fraction				
pbpko:PBPKO_00156	fukidney		Kidney fraction unbound   	Fraction Unbound 	fukidney	The fraction of a xenobiotic that is unbound in kidney	The fraction of a xenobiotic that is unbound in kidney			0000-0001-8345-1349	0000-0002-9795-5967		Class	Unbound fraction				
pbpko:PBPKO_00157	fumuscle		Muscle fraction unbound   	Fraction Unbound 	fumuscle	The fraction of a xenobiotic that is unbound in muscle	The fraction of a xenobiotic that is unbound in muscle			0000-0001-8345-1349	0000-0002-9795-5967		Class	Unbound fraction				
pbpko:PBPKO_00158	fuheart		Cardiac fraction unbound   	Fraction Unbound 	fuheart	The fraction of a xenobiotic that is unbound in heart	The fraction of a xenobiotic that is unbound in heart			0000-0001-8345-1349	0000-0002-9795-5967		Class	Unbound fraction				
pbpko:PBPKO_00159	fufat		Fat fraction unbound   	Fraction Unbound 	fufat	The fraction of a xenobiotic that is unbound in fat	The fraction of a xenobiotic that is unbound in fat			0000-0001-8345-1349	0000-0002-9795-5967		Class	Unbound fraction				
pbpko:PBPKO_00160	fugonads		Gonads fraction unbound   	Fraction Unbound 	fugonads	The fraction of a xenobiotic that is unbound in gonads	The fraction of a xenobiotic that is unbound in gonads			0000-0001-8345-1349	0000-0002-9795-5967		Class	Unbound fraction				
pbpko:PBPKO_00161	fuskin		Skin fraction unbound	Fraction Unbound 	fuskin	The fraction of a xenobiotic that is unbound in skin	The fraction of a xenobiotic that is unbound in skin			0000-0001-8345-1349	0000-0002-9795-5967		Class	Unbound fraction				
pbpko:PBPKO_00162	fubone		Bone fraction unbound	Fraction Unbound 	fubone	The fraction of a xenobiotic that is unbound in bone	The fraction of a xenobiotic that is unbound in bone			0000-0001-8345-1349	0000-0002-9795-5967		Class	Unbound fraction				
pbpko:PBPKO_00163	fuspleen		Spleen fraction unbound	Fraction Unbound 	fuspleen	The fraction of a xenobiotic that is unbound in spleen	The fraction of a xenobiotic that is unbound in spleen			0000-0001-8345-1349	0000-0002-9795-5967		Class	Unbound fraction				
pbpko:PBPKO_00164	fulung		Lung fraction unbound	Fraction Unbound 	fulung	The fraction of a xenobiotic that is unbound in lung	The fraction of a xenobiotic that is unbound in lung			0000-0001-8345-1349	0000-0002-9795-5967		Class	Unbound fraction				
pbpko:PBPKO_00165	fuenterocytes		RBC fraction unbound	Fraction Unbound	fuenterocytes	The fraction of a xenobiotic that is unbound in enterocyte	The fraction of a xenobiotic that is unbound in enterocyte			0000-0001-8345-1349	0000-0002-9795-5967		Class	Unbound fraction				
pbpko:PBPKO_00166	Partition coefficient	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20610|http://semanticscience.org/resource/CHEMINF_000496		Partition coefficient	Kp	The ratio of the concentration of a drug/chemical in a particular tissue to its concentration in plasma at equilibrium. It is also known as tissue-to-plasma partition coefficient	The ratio of the concentration of a drug/chemical in a particular tissue to its concentration in plasma at equilibrium. It is also known as tissue-to-plasma partition coefficient	10.1124/dmd.120.090498		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
